Rank,Event,Estimated_Frequency,Error,Exact_Frequency
1,Microsoft-Windows-DistributedCOM:10016,2394,0,2394
2,Microsoft-Windows-WindowsUpdateClient:44,2132,0,2132
3,Microsoft-Windows-Kernel-General:16,2097,0,2097
4,Service Control Manager:7040,2042,0,2042
5,Microsoft-Windows-Kernel-Power:566,1338,0,1338
6,Microsoft-Windows-HttpService:114,1311,0,1311
7,Microsoft-Windows-HttpService:113,1311,0,1311
8,Microsoft-Windows-FilterManager:6,942,0,942
9,Microsoft-Windows-BitLocker-Driver:24709,902,0,902
10,Microsoft-Windows-HttpService:112,805,0,805
11,Microsoft-Windows-Kernel-General:1,757,0,757
12,Microsoft-Windows-WindowsUpdateClient:43,728,0,728
13,Microsoft-Windows-Ntfs:98,723,0,723
14,Microsoft-Windows-WindowsUpdateClient:19,721,0,721
15,Microsoft-Windows-Time-Service:158,634,0,634
16,BTHUSB:18,500,0,500
17,Microsoft-Windows-Kernel-Processor-Power:55,488,0,488
18,Microsoft-Windows-Kernel-Boot:32,452,0,452
19,Microsoft-Windows-Kernel-Boot:18,452,0,452
20,Microsoft-Windows-Kernel-Boot:27,451,0,451
21,Microsoft-Windows-Kernel-Boot:25,451,0,451
22,Microsoft-Windows-Kernel-Boot:30,451,0,451
23,Microsoft-Windows-BitLocker-Driver:24711,451,0,451
24,Microsoft-Windows-TPM-WMI:1041,450,0,450
25,Microsoft-Windows-TPM-WMI:1038,449,0,449
26,Microsoft-Windows-Power-Troubleshooter:1,449,7,446
27,Microsoft-Windows-Kernel-Power:107,449,7,446
28,Microsoft-Windows-Kernel-Power:42,449,7,446
29,Microsoft-Windows-Kernel-Power:187,449,7,446
30,Microsoft-Windows-Winlogon:7001,436,0,436
31,Microsoft-Windows-Winlogon:7002,432,0,432
32,e1dexpress:32,383,0,383
33,VfpExt:7036,348,0,348
34,Microsoft-Windows-Kernel-General:24,339,0,339
35,Microsoft-Windows-Kernel-Boot:247,309,26,283
36,Microsoft-Windows-Configuration-Change-Monitor:1,288,20,268
37,Microsoft-Windows-Time-Service:37,271,9,266
38,EventLog:6013,213,0,213
39,Microsoft-Windows-Kernel-General:15,213,9,208
40,Microsoft-Windows-Kernel-General:11,198,12,189
41,Service Control Manager:7045,169,19,154
42,Microsoft-Windows-FilterManager:1,146,18,145
43,Microsoft-Windows-Time-Service:35,138,9,131
44,Microsoft-Windows-Dhcp-Client:50036,120,0,120
45,Volsnap:33,115,12,111
46,Microsoft-Windows-DHCPv6-Client:51057,113,0,113
47,Microsoft-Windows-WLAN-AutoConfig:10001,109,30,80
48,Microsoft-Windows-WLAN-AutoConfig:10002,109,30,80
49,Microsoft-Windows-DistributedCOM:10029,106,61,57
50,Microsoft-Windows-DistributedCOM:10010,103,31,86
51,NetBT:4311,94,20,80
52,Microsoft-Windows-Time-Service:134,92,9,83
53,Microsoft-Windows-Hyper-V-VmSwitch:291,88,12,79
54,Microsoft-Windows-Kernel-Power:131,72,63,56
55,Microsoft-Windows-HttpEvent:15008,72,69,25
56,nvlddmkm:153,72,69,3
57,EventLog:6006,71,64,56
58,Microsoft-Windows-DHCPv6-Client:51047,71,65,56
59,Microsoft-Windows-Dhcp-Client:50105,71,65,56
60,Microsoft-Windows-Dhcp-Client:50104,71,65,56
61,Microsoft-Windows-Kernel-Power:109,71,66,56
62,Microsoft-Windows-WLAN-AutoConfig:4001,71,66,55
63,EventLog:6005,71,66,61
64,EventLog:6009,71,66,61
65,Microsoft-Windows-Dhcp-Client:50037,71,66,56
66,Microsoft-Windows-Dhcp-Client:50106,71,66,56
67,Microsoft-Windows-HttpEvent:15007,71,68,25
68,Microsoft-Windows-Kernel-General:12,71,68,61
69,Microsoft-Windows-Kernel-General:13,71,68,56
70,Microsoft-Windows-Kernel-Power:577,71,68,56
71,nvlddmkm:14,71,70,1
72,Virtual Disk Service:4,71,70,15
73,Microsoft-Windows-WinREAgent:4500,71,70,7
74,Virtual Disk Service:3,71,70,17
75,e1dexpress:27,71,70,38
76,secnvme:11,70,54,61
77,Microsoft-Windows-HAL:16,70,54,61
78,Microsoft-Windows-Kernel-General:20,70,54,61
79,Microsoft-Windows-Kernel-Boot:238,70,54,61
80,Microsoft-Windows-Kernel-Boot:20,70,54,61
81,Microsoft-Windows-Kernel-Boot:153,70,54,61
82,Microsoft-Windows-Kernel-General:25,70,54,61
83,Microsoft-Windows-Directory-Services-SAM:16983,70,55,61
84,Microsoft-Windows-Directory-Services-SAM:16977,70,55,61
85,Microsoft-Windows-Directory-Services-SAM:16962,70,55,61
86,LsaSrv:6156,70,55,61
87,Microsoft-Windows-Wininit:12,70,55,61
88,Microsoft-Windows-Wininit:14,70,55,61
89,Microsoft-Windows-Wininit:23,70,55,61
90,Microsoft-Windows-Wininit:25,70,55,61
91,Microsoft-Windows-Wininit:24,70,55,60
92,User32:1074,70,63,59
93,Microsoft-Windows-TPM-WMI:1025,70,63,59
94,Microsoft-Windows-TPM-WMI:1282,70,63,59
95,Microsoft-Windows-WLAN-AutoConfig:4000,70,65,59
96,TPM:18,70,65,59
97,Service Control Manager:7026,70,65,59
98,HidBth:2,70,66,15
99,Microsoft-Windows-DHCPv6-Client:51046,70,66,60
100,Microsoft-Windows-Dhcp-Client:50103,70,66,60
